Tier 1,Tier 2,Tier 3
IIT Bombay,IIIT Bangalore,"IEM, Kolkata"
IIT Delhi,IIIT Delhi,"KIIT, Bhubaneswar"
IIT Kharagpur,IGDTUW,"Ramaiah Institute of Technology, Bengaluru"
IIT Madras,NIT Calicut,TIET/Thapar University
IIT Kanpur,IIITM Gwalior,Manipal Main Campus
IIT Roorkee,SVNIT Surat,VIT Vellore
IIT Guwahati,NIT Bhopal,SRM Main Campus
IIIT Hyderabad,,
BITS Pilani (Pilani Campus),,
IIT Indore,,
IIT Ropar,,
IIT BHU (Varanasi),,
IIT ISM Dhanbad,,
DTU,,
NSUT Delhi (NSIT),,
NIT Tiruchipally (Trichy),,
NIT Warangal,,
NIT Surathkal (Karnataka),,
Jadavpur University,,
BITS Pilani (Hyderabad Campus),,
BITS Pilani (Goa Campus),,
IIIT Allahabad,,
